,screen_name,statuses_count
2636,ShaneT21,9958.0
2639,iAbdulaziz23,17158.0
2643,thegreatlukeski,12716.0
2646,marybaum,21253.0
2652,ServingIntel,2710.0
2653,FieldhousePtown,875.0
2659,pdotruck,11095.0
2664,tommy_luv80,6255.0
2665,NIUVOLLEYBALL,2583.0
2668,ArtofILLFusion,912.0
2669,fnasty15,568.0
2670,burnell_gage,1264.0
2671,DavidKochMTG,149.0
2672,SlimeWithPrime,523.0
2680,paulcwynar,446.0
2684,RiNicole3,5621.0
2686,warrekr,18.0
2687,fckinPitur,40330.0
2691,jaelyn_keene,2494.0
2692,KodieBrant,37503.0
2700,its_whoren,3142.0
2702,Larn_Guy,167.0
2709,livbusch,205.0
2711,sheaward86,404.0
2714,Phenixone,2086.0
2718,CGrosinic,265.0
2726,abbiiswak,11456.0
2732,TonyManuele,3078.0
2742,stphrhoades,965.0
2743,IL_physician,408.0
2746,tmj_IL_auto,587.0
2747,XOwen_,11015.0
2752,kisspeoria,23104.0
2754,ohhtamzz,7424.0
